PC,explained_variance_ratio,cumulative
PC1,0.1528905835819418,0.1528905835819418
PC2,0.10901926814111763,0.2619098517230594
PC3,0.10065849541871771,0.3625683471417771
PC4,0.08837922195839333,0.4509475691001704
PC5,0.07376001552101458,0.524707584621185
PC6,0.06751430649955768,0.5922218911207427
PC7,0.06482858918586225,0.657050480306605
PC8,0.05660701850263369,0.7136574988092387
PC9,0.05331414270922988,0.7669716415184685
PC10,0.05245079757947228,0.8194224390979408
PC11,0.049371994223261315,0.8687944333212021
PC12,0.044212692694096195,0.9130071260152983
